Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
SCHV,70.59,77.51,78.74,31.49,100.0,63.25,50.16,50.23,72.11,75.08,94.63,64.04
EWS,71.92,56.25,74.77,29.01,100.0,71.85,54.77,51.24,51.41,63.69,88.65,23.24
PIEQ,80.53,66.81,71.8,35.1,100.0,76.3,69.9,69.9,69.9,62.67,97.49,42.54
USCA,75.03,62.46,71.32,40.56,49.37,86.02,86.02,86.02,86.02,59.73,80.75,48.15
QQQY,68.06,57.65,71.14,21.64,100.0,65.24,48.54,47.84,48.27,62.46,85.42,30.34
ENOR,88.68,52.19,71.01,37.57,100.0,92.86,89.29,87.19,44.21,46.2,100.0,14.1
MGNR,79.81,59.82,70.48,53.51,100.0,55.5,80.2,79.43,79.46,50.37,100.0,30.58
EDGU,77.41,56.9,70.47,28.71,100.0,65.61,68.91,68.91,68.91,52.42,89.0,31.6
EWX,82.56,57.04,70.38,70.22,66.36,98.2,84.68,84.68,84.68,58.53,89.73,27.5
FCG,66.74,52.93,70.32,30.16,100.0,57.89,49.79,55.31,42.9,41.96,100.0,18.59
PTMC,76.54,47.81,70.2,38.41,100.0,69.01,65.09,65.09,65.09,54.6,58.34,34.35
EMBD,84.9,49.18,70.14,23.83,100.0,78.53,78.37,78.37,78.37,46.06,79.13,24.92
SNTH,76.34,59.72,70.11,27.08,100.0,69.68,64.27,64.27,64.27,52.73,86.44,40.71
XOEX,88.38,58.84,70.09,36.25,85.35,89.68,89.68,89.68,89.68,53.34,90.02,34.99
PBQQ,91.67,57.91,70.08,29.34,79.77,96.77,96.77,96.77,96.77,49.35,87.88,37.04
HIDV,69.44,57.25,70.07,80.96,5.97,96.64,96.64,96.64,96.64,54.87,89.43,30.59
PQJA,98.29,58.35,70.06,29.35,99.9,97.6,97.6,97.6,97.6,54.07,88.16,34.95
QMNV,86.26,59.08,70.04,23.56,86.83,86.02,86.02,86.02,86.02,52.87,88.55,37.17
